web-scraper-order,web-scraper-start-url,links,links-href,Name,Experience,Location,Languages,Practice_Areas,Courts,Pages,Pages-href,Profile_Pic-src
1695384227-228,https://lawrato.com/lawyers/pune?&page=,Advocate Vaibhav Kasture,https://lawrato.com/advocate-vaibhav-kasture,Advocate Vaibhav Kasture,22 years,"Shivajinagar, Pune","English, Hindi, Marathi","Bankruptcy / Insolvency, Breach of Contract, Cheque Bounce, Corporate, Court Marriage, Divorce, Domestic Violence, Family, Labour & Service, Media and Entertainment, NCLT, Property, RERA, Succession Certificate, Wills / Trusts",,1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-vaibhav-kasture.webp
1695384231-229,https://lawrato.com/lawyers/pune?&page=,Advocate Unmesh Gopal Dindore,https://lawrato.com/advocate-unmesh-gopal-dindore,Advocate Unmesh Gopal Dindore,15 years,"15th August Chowk, Pune","English, Gujarati, Hindi, Marathi, Sanskrit","Arbitration, Banking / Finance, Bankruptcy / Insolvency, Cheque Bounce, Consumer Court, Corporate, Divorce, Property, Recovery, Wills / Trusts",,1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-unmesh-gopal-dindore.webp
1695384235-230,https://lawrato.com/lawyers/pune?&page=,Advocate Sudhanva P RajeNimbalkar,https://lawrato.com/advocate-sudhanva-p-rajenimbalkar,Advocate Sudhanva P RajeNimbalkar,35 years,"Sadashiv Peth, Pune","English, Hindi, Marathi","Arbitration, Cheque Bounce, Civil, Consumer Court, Divorce, Documentation, High Court, Property, Succession Certificate, Wills / Trusts","Bombay High Court,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/advocate-sudhanva-p-rajenimbalkar.jpg
1695384239-237,https://lawrato.com/lawyers/pune?&page=,Advocate Vijay Shreebhagwan Agarwal,https://lawrato.com/advocate-vijay-shreebhagwan-agarwal,Advocate Vijay Shreebhagwan Agarwal,8 years,"Shivajinagar, Pune","English, Hindi, Marathi","Anticipatory Bail, Cheque Bounce, Consumer Court, Criminal, Divorce, Domestic Violence, Family, Medical Negligence, Motor Accident, Succession Certificate","Consumer District Forum, Pune,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-vijay-shreebhagwan-agarwal.webp
1695384243-244,https://lawrato.com/lawyers/pune?&page=,Advocate Juhi Qureshi,https://lawrato.com/advocate-juhi-qureshi,Advocate Juhi Qureshi,8 years,"Shivajinagar, Pune","English, Hindi, Marathi","Anticipatory Bail, Court Marriage, Criminal, Divorce, Domestic Violence, Family, High Court, Muslim Law, Wills / Trusts","Bombay High Court,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-juhi-qureshi.webp
1695384247-247,https://lawrato.com/lawyers/pune?&page=,Advocate Navid Rashid Mulani,https://lawrato.com/advocate-navid-rashid-mulani,Advocate Navid Rashid Mulani,3 years,"Camp, Pune","English, Hindi, Marathi, Urdu","Anticipatory Bail, Child Custody, Consumer Court, Criminal, Divorce, Domestic Violence, High Court, Muslim Law, Succession Certificate, Wills / Trusts","Arbitral Tribunal,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/advocate-navid-rashid-mulani.jpg
1695384253-255,https://lawrato.com/lawyers/pune?&page=,Advocate Shweta Pandey,https://lawrato.com/advocate-shweta-pandey,Advocate Shweta Pandey,3 years,"Shivajinagar, Pune","English, Hindi, Marathi","Anticipatory Bail, Arbitration, Cheque Bounce, Child Custody, Civil, Criminal, Divorce, Domestic Violence, Family, Recovery","Bombay High Court,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-shweta-pandey.webp
1695384256-265,https://lawrato.com/lawyers/pune?&page=,Advocate Pralhad Vishwanath Kachare,https://lawrato.com/advocate-pralhad-vishwanath-kachare,Advocate Pralhad Vishwanath Kachare,1 years,"Karve Nagar, Pune","English, Hindi, Marathi",Landlord/Tenant,"Bombay High Court,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-pralhad-vishwanath-kachare.webp
1695384261-270,https://lawrato.com/lawyers/pune?&page=,Advocate Shweta Joshi,https://lawrato.com/advocate-shweta-joshi,Advocate Shweta Joshi,10 years,"Dhayari, Pune","English, Hindi, Marathi","Breach of Contract, Child Custody, Civil, Consumer Court, Corporate, Divorce, Domestic Violence, Landlord/Tenant, Property, Recovery","Consumer District Forum, Pune,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-shweta-joshi.webp
1695384266-275,https://lawrato.com/lawyers/pune?&page=,Advocate Monica Shroff,https://lawrato.com/advocate-monica-shroff,Advocate Monica Shroff,7 years,"Pimpri, Pune","English, Hindi, Marathi, Sindhi","Cheque Bounce, Child Custody, Civil, Court Marriage, Divorce, Documentation, Domestic Violence, Family, High Court, Property, Recovery, Wills / Trusts","Bombay High Court,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-monica-shroff.webp
1695384269-285,https://lawrato.com/lawyers/pune?&page=,Advocate Minakshi Bapu Ovhal Dakhane,https://lawrato.com/advocate-minakshi-bapu-ovhal,Advocate Minakshi Bapu Ovhal Dakhane,12 years,"Shivajinagar, Pune","English, Hindi, Marathi","Anticipatory Bail, Civil, Consumer Court, Court Marriage, Divorce, Domestic Violence, Family, Labour & Service, Property, Wills / Trusts","Bombay High Court,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-minakshi-bapu-ovhal.webp
1695384273-290,https://lawrato.com/lawyers/pune?&page=,Advocate Rani Sonawane,https://lawrato.com/advocate-rani-sonawane,Advocate Rani Sonawane,24 years,"Shivajinagar, Pune","English, Hindi, Marathi","Anticipatory Bail, Cheque Bounce, Civil, Court Marriage, Criminal, Divorce, Domestic Violence, Family, Motor Accident, Muslim Law, Succession Certificate","District and Sessions Court, Mumbai,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-rani-sonawane.webp
1695384277-293,https://lawrato.com/lawyers/pune?&page=,Advocate Clerence Pereira,https://lawrato.com/advocate-clerence-pereira,Advocate Clerence Pereira,6 years,"Camp, Pune","English, Hindi, Marathi","Anticipatory Bail, Arbitration, Civil, Criminal, Divorce, High Court, Landlord/Tenant, NCLT, Property, Succession Certificate","Bombay High Court,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-clerence-pereira.webp
1695384281-298,https://lawrato.com/lawyers/pune?&page=,Advocate Ganesh Arjun Ranadive,https://lawrato.com/advocate-ganesh-arjun-ranadive,Advocate Ganesh Arjun Ranadive,15 years,"Shivaji Nagar, Pune","English, Hindi, Marathi","Breach of Contract, Cheque Bounce, Civil, Divorce, Domestic Violence, Family, Landlord/Tenant, Property, RERA, Succession Certificate","Court of Small Causes, Pune,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-ganesh-arjun-ranadive.webp
1695384287-301,https://lawrato.com/lawyers/pune?&page=,Advocate Sharayu Zanak,https://lawrato.com/advocate-sharayu-zanak,Advocate Sharayu Zanak,0 years,"Sinhagad road, Pune","English, Hindi, Marathi","Cheque Bounce, Civil, Consumer Court, Divorce, Documentation, Domestic Violence, Family, Landlord/Tenant, Recovery, Succession Certificate, Wills / Trusts","Bombay High Court,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/advocate-sharayu-zanak.jpg
1695384290-311,https://lawrato.com/lawyers/pune?&page=,Advocate M P Salunke,https://lawrato.com/advocate-m-p-salunke,Advocate M P Salunke,12 years,"Pune Satara Road, Swargate, Pune","English, Hindi, Marathi","Child Custody, Court Marriage, Criminal, Divorce, Domestic Violence, Family, High Court, Property, Recovery, Supreme Court, Wills / Trusts","Bombay High Court,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-m-p-salunke.webp
1695384295-314,https://lawrato.com/lawyers/pune?&page=,Advocate Sudhir Reddy,https://lawrato.com/advocate-sudhir-reddy,Advocate Sudhir Reddy,13 years,"Model Colony, Pune","English, Hindi, Marathi","Arbitration, Banking / Finance, Cheque Bounce, Child Custody, Consumer Court, Corporate, Criminal, Customs & Central Excise, Divorce, Family, Insurance, International Law, Labour & Service, Landlord/Tenant, Medical Negligence, Motor Accident, Property, Recovery, Startup, Trademark & Copyright, Wills / Trusts","Bombay High Court,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-sudhir-reddy.webp
1695384298-319,https://lawrato.com/lawyers/pune?&page=,Advocate Rishabh Gandhi,https://lawrato.com/advocate-rishabh-gandhi,Advocate Rishabh Gandhi,14 years,"Erandvane, Pune","English, Hindi, Marathi","Arbitration, Bankruptcy / Insolvency, Consumer Court, Corporate, Divorce, Documentation, High Court, Labour & Service, NCLT, Property, RERA, Startup, Trademark & Copyright","Bombay High Court,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-rishabh-gandhi.webp
1695384302-321,https://lawrato.com/lawyers/pune?&page=,Advocate Khursheed Anwar Qureshi,https://lawrato.com/advocate-khursheedanwarqureshi,Advocate Khursheed Anwar Qureshi,29 years,"Shivaji Nagar, Pune","English, Hindi, Marathi","Anticipatory Bail, Banking / Finance, Cheque Bounce, Child Custody, Court Marriage, Criminal, Divorce, Domestic Violence, Family, High Court, Medical Negligence, Muslim Law, Wills / Trusts","Bombay High Court,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-khursheedanwarqureshi.webp
1695384307-324,https://lawrato.com/lawyers/pune?&page=,Advocate Ravi Jadhav,https://lawrato.com/advocate-ravi-jadhav,Advocate Ravi Jadhav,15 years,"Koregaon Park, Pune","English, Hindi","Anticipatory Bail, Arbitration, Banking / Finance, Bankruptcy / Insolvency, Breach of Contract, Cheque Bounce, Child Custody, Civil, Consumer Court, Corporate, Court Marriage, Criminal, Customs & Central Excise, Cyber Crime, Divorce, Documentation, Domestic Violence, Family, GST, High Court, Insurance, International Law, Labour & Service, Landlord/Tenant, Media and Entertainment, Medical Negligence, Motor Accident, NCLT, Patent, Property, R.T.I, Recovery, RERA, Startup, Succession Certificate, Supreme Court, Tax, Trademark & Copyright, Wills / Trusts","Bombay High Court,",1,https://lawrato.com/lawyers/pune?&page=1,https://lawrato.com/expert_images/thumb/webp/advocate-ravi-jadhav.webp
1695384311-327,https://lawrato.com/lawyers/pune?&page=,Advocate Amit Rathi,https://lawrato.com/advocate-amit-rathi,Advocate Amit Rathi,15 years,"Shivajinagar, Pune","English, Hindi, Marathi","Anticipatory Bail, Court Marriage, Criminal, Documentation, Domestic Violence, Family, Landlord/Tenant, NCLT, Property, RERA, Succession Certificate",,2,https://lawrato.com/lawyers/pune?&page=2,https://lawrato.com/expert_images/thumb/webp/advocate-amit-rathi.webp
1695384315-328,https://lawrato.com/lawyers/pune?&page=,Advocate Radhika Pachpor,https://lawrato.com/advocate-radhika-pachpor,Advocate Radhika Pachpor,16 years,"Erandwane Gavthan, Pune","English, Hindi, Marathi","Anticipatory Bail, Civil, Criminal, Divorce, Documentation, Domestic Violence, Medical Negligence, Motor Accident, NCLT, Property, RERA, Startup, Succession Certificate",,2,https://lawrato.com/lawyers/pune?&page=2,https://lawrato.com/expert_images/thumb/webp/advocate-radhika-pachpor.webp
1695384319-329,https://lawrato.com/lawyers/pune?&page=,Advocate Sagar Kothari,https://lawrato.com/advocate-sagar-kothari,Advocate Sagar Kothari,21 years,"District Court Shivajinagar, Pune","English, Hindi, Marathi","Anticipatory Bail, Cheque Bounce, Civil, Criminal, High Court, Medical Negligence, Motor Accident, NCLT, Property, RERA, Succession Certificate",,2,https://lawrato.com/lawyers/pune?&page=2,https://lawrato.com/expert_images/thumb/webp/advocate-sagar-kothari.webp
1695384323-330,https://lawrato.com/lawyers/pune?&page=,Advocate Vijay Kalu Wani,https://lawrato.com/advocate-vijay-kalu-wani,Advocate Vijay Kalu Wani,7 years,"Koregaon, Pune","English, Hindi, Konkani, Marathi","Anticipatory Bail, Arbitration, Child Custody, Court Marriage, Criminal, Divorce, Domestic Violence, Family, International Law",,2,https://lawrato.com/lawyers/pune?&page=2,https://lawrato.com/expert_images/thumb/webp/advocate-vijay-kalu-wani.webp
