web-scraper-order,web-scraper-start-url,links,links-href,Name,Experience,Location,Languages,Practice_Areas,Courts,Pages,Pages-href
1695236542-1,https://lawrato.com/lawyers/pune?&page=,Advocate Rajendra Pandurang Dorugade,https://lawrato.com/advocate-rajendra-pandurang-dorugade,Advocate Rajendra Pandurang Dorugade,2 years,"Hadapsar, Pune","English, Hindi","Civil, Criminal",,15,https://lawrato.com/lawyers/pune?&page=15
1695236545-2,https://lawrato.com/lawyers/pune?&page=,Advocate Rohan Hawale,https://lawrato.com/advocate-rohan-hawale,Advocate Rohan Hawale,2 years,"khed, Pune","English, Hindi, Marathi","Cheque Bounce, Civil, Criminal, Documentation, Family",,15,https://lawrato.com/lawyers/pune?&page=15
1695236548-3,https://lawrato.com/lawyers/pune?&page=,Advocate Ravindranath Patil,https://lawrato.com/advocate-ravindranath-patil,Advocate Ravindranath Patil,0 years,"Gultekdi, Pune","English, Hindi, Marathi","Anticipatory Bail, Criminal, Cyber Crime, High Court",,15,https://lawrato.com/lawyers/pune?&page=15
1695236551-4,https://lawrato.com/lawyers/pune?&page=,Advocate Suparna S Joshi,https://lawrato.com/advocate-suparna-s-joshi,Advocate Suparna S Joshi,3 years,"Sadashiv Peth, Pune","English, Hindi, Marathi","Civil, Criminal, Domestic Violence, Family, High Court",,15,https://lawrato.com/lawyers/pune?&page=15
1695236554-5,https://lawrato.com/lawyers/pune?&page=,Advocate Darshana Deshbhushan Dharmarao,https://lawrato.com/advocate-darshana-deshbhushan-dharmarao,Advocate Darshana Deshbhushan Dharmarao,5 years,"Bavdhan Khurd, Pune","English, Hindi, Marathi","Civil, Consumer Court, Family, Recovery, Succession Certificate",,15,https://lawrato.com/lawyers/pune?&page=15
1695236557-6,https://lawrato.com/lawyers/pune?&page=,Advocate Munir R. Mohammad,https://lawrato.com/advocate-munir-r-mohammad,Advocate Munir R. Mohammad,6 years,"Kondhwa, Pune","English, Hindi, Marathi, Urdu","Civil, Criminal, Divorce, Family, Muslim Law",,15,https://lawrato.com/lawyers/pune?&page=15
1695236560-7,https://lawrato.com/lawyers/pune?&page=,Advocate Nilesh Dilip Bora,https://lawrato.com/advocate-nilesh-dilip-bora,Advocate Nilesh Dilip Bora,3 years,"Narayan Peth, Pune","English, Hindi, Marathi","Anticipatory Bail, Cheque Bounce, Civil, Court Marriage, Criminal, Divorce, Domestic Violence, Family, Succession Certificate",,15,https://lawrato.com/lawyers/pune?&page=15
1695236563-8,https://lawrato.com/lawyers/pune?&page=,Advocate Abhimanyu Rathi,https://lawrato.com/advocate-abhimanyu-rathi,Advocate Abhimanyu Rathi,2 years,"Koregaon Park, Pune","English, Hindi, Nepali","Criminal, Cyber Crime, Documentation, Family, Recovery",,15,https://lawrato.com/lawyers/pune?&page=15
1695236566-9,https://lawrato.com/lawyers/pune?&page=,Advocate Akshay Petkar,https://lawrato.com/advocate-akshay-petkar,Advocate Akshay Petkar,2 years,"Kasba Peth, Pune","English, Hindi, Marathi","Cheque Bounce, Civil, Divorce, Domestic Violence, Family",,15,https://lawrato.com/lawyers/pune?&page=15
1695236569-10,https://lawrato.com/lawyers/pune?&page=,Advocate Rushiraj Sanjay Kulkarni,https://lawrato.com/advocate-rushiraj-sanjay-kulkarni,Advocate Rushiraj Sanjay Kulkarni,7 years,"Sadashiv Peth, Pune","English, Hindi, Marathi","Arbitration, Civil, Divorce, Succession Certificate, Wills / Trusts",,15,https://lawrato.com/lawyers/pune?&page=15
1695236572-11,https://lawrato.com/lawyers/pune?&page=,Advocate Bhakti Rajput,https://lawrato.com/advocate-bhakti-rajput,Advocate Bhakti Rajput,1 years,"Shivaji Nagar, Pune","English, Hindi, Marathi","Anticipatory Bail, Cheque Bounce, Criminal, Divorce, Trademark & Copyright, Wills / Trusts",,15,https://lawrato.com/lawyers/pune?&page=15
1695236576-12,https://lawrato.com/lawyers/pune?&page=,Advocate Seema Dubey,https://lawrato.com/advocate-seema-dubey,Advocate Seema Dubey,14 years,"Shivaji Nagar, Pune","English, Hindi","Arbitration, Civil, Corporate, Criminal, Family",,15,https://lawrato.com/lawyers/pune?&page=15
1695236579-13,https://lawrato.com/lawyers/pune?&page=,Advocate Sangram Pravin Lipane,https://lawrato.com/advocate-sangram-pravin-lipane,Advocate Sangram Pravin Lipane,1 years,"District Court, Pune","English, Hindi","Documentation, Landlord/Tenant, Property, RERA",,15,https://lawrato.com/lawyers/pune?&page=15
1695236582-14,https://lawrato.com/lawyers/pune?&page=,Advocate Chinmay Subhash Kalyani,https://lawrato.com/advocate-chinmay-subhash-kalyanai,Advocate Chinmay Subhash Kalyani,5 years,"Wakad, Pune","English, Hindi, Marathi","Civil, Consumer Court, Criminal, Property, RERA, Succession Certificate, Wills / Trusts",,15,https://lawrato.com/lawyers/pune?&page=15
1695236585-15,https://lawrato.com/lawyers/pune?&page=,Advocate Namrata Mandot,https://lawrato.com/advocate-namrata-mandot,Advocate Namrata Mandot,29 years,"Bibvewadi, Pune","English, Hindi","Criminal, Family",,15,https://lawrato.com/lawyers/pune?&page=15
1695236591-16,https://lawrato.com/lawyers/pune?&page=,Advocate Ramkrishna Nathrao Nagime,https://lawrato.com/advocate-ramkrishna-nathrao-nagime,Advocate Ramkrishna Nathrao Nagime,8 years,"Hinjawadi, Pune","English, Hindi, Marathi","Cheque Bounce, Civil, Criminal, Family, Property",,14,https://lawrato.com/lawyers/pune?&page=14
